run_id,problem_id,difficulty,grid_size,,items_present,heuristic,search_algorithm,planner_time_seconds,search_time_seconds,total_time_seconds,expanded_states,evaluated_states,generated_states,dead_ends_steps,peak_memory_kb,plan_length_steps,status
62,m6,Medium,6x6,,Key+Keyhole+Door+Walls,add(),eager_greedy([h]),"7,08","0,004152","0,007132",43,48,88,0,11060,30,Solution found
63,m6,Medium,6x6,,Key+Keyhole+Door+Walls,lmcut(),eager_greedy([h]),"8,81","0,004154","0,004154",42,47,86,0,11060,30,Solution found
64,m7,Medium,6x6,,Fireball+Pressure Plate+Walls,ff(),eager_greedy([h]),"25,86","0,004148","0,016598",27,48,207,7,12144,20,Solution found
65,m7,Medium,6x6,,Fireball+Pressure Plate+Walls,add(),eager_greedy([h]),"25,81","0,003949","0,01611",27,48,207,7,12144,20,Solution found
66,m7,Medium,6x6,,Fireball+Pressure Plate+Walls,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
70,m9,Medium,6x6,,Sword+Zombies+Walls,ff(),eager_greedy([h]),"73,81","0,054416","0,100857",144,214,386,30,15444,27,Solution found
71,m9,Medium,6x6,,Sword+Zombies+Walls,add(),eager_greedy([h]),"71,55","0,050852","0,094482",144,214,386,30,15444,27,Solution found
72,m9,Medium,6x6,,Sword+Zombies+Walls,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
91,h1,Hard,8x8,,Empty,ff(),eager_greedy([h]),"56,94",0,"0,004235",15,33,48,0,11192,14,Solution found
92,h1,Hard,8x8,,Empty,add(),eager_greedy([h]),"58,24",0,"0,293414",15,33,48,0,11192,14,Solution found
93,h1,Hard,8x8,,Empty,lmcut(),eager_greedy([h]),"56,84","0,004259","0,007474",15,33,48,0,11208,14,Solution found
94,h2,Hard,8x8,,Walls,ff(),eager_greedy([h]),"38,95",0,"0,004266",14,17,28,0,11060,13,Solution found
95,h2,Hard,8x8,,Walls,add(),eager_greedy([h]),"40,73","0,004267","0,00846",14,17,28,0,11060,13,Solution found
96,h2,Hard,8x8,,Walls,lmcut(),eager_greedy([h]),"37,07",0,"0,00395",14,17,28,0,11060,13,Solution found
97,h3,Hard,8x8,,Zombies+Walls,ff(),eager_greedy([h]),"220,84","0,036181","0,10043",53,135,159,21,16072,34,Solution found
98,h3,Hard,8x8,,Zombies+Walls,add(),eager_greedy([h]),"226,17","0,032028","0,096002",53,126,157,19,16072,35,Solution found
99,h3,Hard,8x8,,Zombies+Walls,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
100,h4,Hard,8x8,,Portals+Walls,ff(),eager_greedy([h]),"43,01","0,003305","0,009793",20,34,55,0,11060,19,Solution found
101,h4,Hard,8x8,,Portals+Walls,add(),eager_greedy([h]),"41,4",0,"0,004242",20,34,55,0,11060,19,Solution found
102,h4,Hard,8x8,,Portals+Walls,lmcut(),eager_greedy([h]),"41,27",0,"0,004503",20,34,55,0,11060,19,Solution found
103,h5,Hard,8x8,,Zombies ,ff(),eager_greedy([h]),"708,58","0,101624","0,392405",51,116,191,27,35196,12,Solution found
104,h5,Hard,8x8,,Zombies,add(),eager_greedy([h]),"709,86","0,055425","0,343098",20,60,74,14,35196,12,Solution found
105,h5,Hard,8x8,,Zombies,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
106,h6,Hard,8x8,,Key+Keyhole+Door+Walls,ff(),eager_greedy([h]),"51,95","0,004288","0,008584",80,136,232,0,11196,53,Solution found
107,h6,Hard,8x8,,Key+Keyhole+Door+Walls,add(),eager_greedy([h]),"55,61","0,00445","0,00779",101,137,285,0,11196,51,Solution found
108,h6,Hard,8x8,,Key+Keyhole+Door+Walls,lmcut(),eager_greedy([h]),"51,56","0,004447","0,008892",70,123,204,0,11200,51,Solution found
109,h7,Hard,8x8,,Fireball+Pressure Plate+Walls,ff(),eager_greedy([h]),"166,63","0,008442","0,046377",31,61,260,14,13964,28,Solution found
110,h7,Hard,8x8,,Fireball+Pressure Plate+Walls,add(),eager_greedy([h]),"209,39","0,012067","0,072245",47,92,426,16,15900,35,Solution found
111,h7,Hard,8x8,,Fireball+Pressure Plate+Walls,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
115,h9,Hard,8x8,,Sword+Zombies+Walls,ff(),eager_greedy([h]),"520,02","2,472153","2,62456",2576,3036,7297,381,27020,104,Solution found
116,h9,Hard,8x8,,Sword+Zombies+Walls,add(),eager_greedy([h]),"563,21","2,558434","2,704691",2567,3026,7278,374,27020,146,Solution found
117,h9,Hard,8x8,,Sword+Zombies+Walls,lmcut(),eager_greedy([h]),,,,,,,,,,Does not support conditional effects
